date,nuclear,geo,bio,hydro,wind,solar,demand
1960,12053,718,2639742,3215951,0,0,84270432
1961,39356,2002,2589519,3312930,0,0,85518921
1962,52788,2122,2600484,3632280,0,0,89368508
1963,76294,3520,2646631,3542712,0,0,93067251
1964,79639,4264,2673606,3772628,0,0,97129499
1965,86329,3956,2669521,4118152,0,0,101215093
1966,128316,3916,2737971,4123035,0,0,107101238
1967,176912,6600,2680500,4693329,0,0,110328502
1968,283068,9064,2838992,4697256,0,0,117039988
1969,307444,12844,2880977,5295961,0,0,122761044
1970,478695,11022,2861922,5267094,0,0,126966426
1971,825878,11478,2864643,5648299,0,0,129064948
1972,1167503,30158,3006126,5727729,0,0,135478037
1973,1820355,40844,3058137,5722896,0,0,140785801
1974,2544168,51220,3079325,6353162,0,0,135668453
1975,3799596,67560,2997467,6309213,0,0,130730024
1976,4222241,75026,3426747,5952525,0,0,138269799
1977,5403522,74764,3676666,4666505,0,0,142007137
1978,6048252,61702,4075215,5873970,0,0,143600338
1979,5551656,80524,4303812,5861373,0,0,145703084
1980,5478339,105398,4943381,5800284,0,0,140098914
1981,6015177,118874,5199494,5515935,0,0,135596743
1982,6262296,101254,5329485,6531119,0,0,128033057
1983,6405097,127820,5808827,7054523,0,0,126534050
1984,7105062,161622,5943205,6771624,0,0,133139287
1985,8151127,194842,6032465,5940385,0,0,132615692
1986,8760216,215355,5864188,6142360,0,0,132315171
1987,9507866,224539,5755149,5269017,0,0,137126592
1988,11173935,212677,6032096,4668529,0,0,143342686
1989,11204322,323093,6318707,5674526,0,0,145960759
1990,12208698,341493,5473963,6092780,0,0,144943588
1991,12844265,355252,5563597,6031883,0,0,143965885
1992,12958412,357400,5863344,5234871,0,0,146972753
1993,12821004,371145,5812012,5783227,0,0,149994836
1994,13387752,346955,6055062,5366913,0,0,152881085
1995,14150872,304112,6202279,6410621,0,0,154979539
1996,14173348,326714,6313609,7179316,0,0,160047382
1997,13193983,333197,6205676,7280913,0,0,162371522
1998,14135616,336962,5854976,6594107,0,0,163068097
1999,15220516,343772,5926588,6535150,0,0,165132450
2000,15724696,328797,6016458,5622233,0,0,169777946
2001,16057707,328921,5250788,4483713,0,0,166158442
2002,16290859,342330,5397029,5378036,0,0,167772962
2003,15919244,346891,5609451,5585079,0,0,168487153
2004,16445547,356296,6009199,5376938,0,0,171963274
2005,16321620,361404,6201279,5405886,356176,0,172147682
2006,16429253,362396,6456813,5738068,527477,0,170051626
2007,16917174,371548,6877660,4892777,681006,0,173113767
2008,16852980,384867,7622932,5022216,1091096,0,168018860
2009,16710443,400371,7796036,5337648,1442257,0,158112488
2010,16868864,415959,8742630,5077082,1846856,180971,164044043
2011,16537398,424623,8838752,6205705,2335269,222262,161206980
2012,16123644,423183,8745393,5257402,2680118,313697,157288771
2013,16488866,428012,9283507,5124762,3202716,449045,161405347
2014,16675118,428981,9583057,4933152,3455086,673878,163060043
2015,16673774,423672,9359597,4642355,3554612,851454,161327241
2016,16853503,419207,9238416,4944886,3871342.518,1137332,159873947
2017,17116722.78,425757.0043,9314596.53,4941337.628,4192724.046,1188041,160006185.2
2018,17338698.67,433108.6715,9420030.039,4976573.173,4511807.876,1348314.143,160478404.6
2019,17590727.85,440217.6474,9535016.843,5006894.332,4832026.817,1508587.286,160784348.2
2020,17875300.25,447572.1133,9652115.542,5037838.202,5151684.989,1668860.429,161236343.3
2021,18155186.47,454977.4116,9769769.487,5068703.168,5471620.194,1829133.571,161669377.1
2022,18439178.86,462373.3447,9887557.967,5099578.132,5791418.538,1989406.714,162108607
2023,18733033.59,469773.3822,10005380.29,5130451.828,6111284.494,2149679.857,162534291.5
2024,19027881.15,477175.4243,10123210.98,5161325.686,6431117.049,2309953,162949678.4
2025,19323292.02,484577.2733,10241043.76,5192199.523,6750966.104,2470226.143,163354769.9
2026,19621332.06,491979.1522,10358877.05,5223073.362,7070807.008,2630499.286,163750991.8
2027,19920259.84,499381.0929,10476710.47,5253947.202,7390651.939,2790772.429,164138981.9
2028,20219359.32,506783.0332,10594543.92,5284821.041,7710494.881,2951045.571,164519173.3
2029,20519117.38,514184.9723,10712377.39,5315694.88,8030338.805,3111318.714,164891815.3
2030,20819261.41,521586.9129,10830210.85,5346568.719,8350182.244,3271591.857,165257113.4
2031,21119498.28,528988.8537,10948044.31,5377442.559,8670025.922,3431865,165615262.3
2032,21419900.32,536390.7944,11065877.78,5408316.398,8989869.482,3592138.143,165966459.2
2033,21720437.75,543792.7352,11183711.24,5439190.237,9309713.101,3752411.286,166310900.7
2034,22021021.28,551194.676,11301544.71,5470064.077,9629556.691,3912684.429,166648779.3
2035,22321649.11,558596.6168,11419378.17,5500937.916,9949400.295,4072957.571,166980281.3
2036,22622319.9,565998.5576,11537211.64,5531811.755,10269243.89,4233230.714,167305586.1
2037,22923010.25,573400.4983,11655045.1,5562685.594,10589087.49,4393503.857,167624866.1
2038,23223713.83,580802.4391,11772878.56,5593559.434,10908931.09,4553777,167938287.3
2039,23524430.44,588204.3799,11890712.03,5624433.273,11228774.69,4714050.143,168246009.4
2040,23825154.46,595606.3207,12008545.49,5655307.112,11548618.29,4874323.286,168548186.5
2041,24125882.8,603008.2615,12126378.96,5686180.952,11868461.89,5034596.429,168844967.1
2042,24426615.07,610410.2022,12244212.42,5717054.791,12188305.49,5194869.571,169136494.4
2043,24727349.94,617812.143,12362045.89,5747928.63,12508149.09,5355142.714,169422906.9
2044,25028086.29,625214.0838,12479879.35,5778802.469,12827992.69,5515415.857,169704337.8
2045,25328823.84,632616.0246,12597712.81,5809676.309,13147836.29,5675689,169980916
2046,25629562.26,640017.9654,12715546.28,5840550.148,13467679.89,5835962.143,170252766
2047,25930301.2,647419.9061,12833379.74,5871423.987,13787523.48,5996235.286,170520007.9
2048,26231040.51,654821.8469,12951213.21,5902297.827,14107367.08,6156508.429,170782758.1
2049,26531780.11,662223.7877,13069046.67,5933171.666,14427210.68,6316781.571,171041128.7
2050,26832519.88,669625.7285,13186880.14,5964045.505,14747054.28,6477054.714,171295228.3
2051,27133259.77,677027.6692,13304713.6,5994919.344,15066897.88,6637327.857,171545162.1
2052,27433999.76,684429.61,13422547.06,6025793.184,15386741.48,6797601,171791031.6
2053,27734739.81,691831.5508,13540380.53,6056667.023,15706585.08,6957874.143,172032935.1
2054,28035479.89,699233.4916,13658213.99,6087540.862,16026428.68,7118147.286,172270967.8
2055,28336220.01,706635.4324,13776047.46,6118414.702,16346272.28,7278420.429,172505222
2056,28636960.14,714037.3731,13893880.92,6149288.541,16666115.88,7438693.571,172735786.8
2057,28937700.29,721439.3139,14011714.39,6180162.38,16985959.48,7598966.714,172962748.7
2058,29238440.45,728841.2547,14129547.85,6211036.219,17305803.08,7759239.857,173186191.6
2059,29539180.61,736243.1955,14247381.31,6241910.059,17625646.68,7919513,173406196.7
2060,29839920.78,743645.1363,14365214.78,6272783.898,17945490.28,8079786.143,173622842.6
2061,30140660.95,751047.077,14483048.24,6303657.737,18265333.87,8240059.286,173836205.8
2062,30441401.13,758449.0178,14600881.71,6334531.577,18585177.47,8400332.429,174046360.3
2063,30742141.3,765850.9586,14718715.17,6365405.416,18905021.07,8560605.571,174253377.9
2064,31042881.48,773252.8994,14836548.64,6396279.255,19224864.67,8720878.714,174457328.3
2065,31343621.65,780654.8402,14954382.1,6427153.094,19544708.27,8881151.857,174658279.3
2066,31644361.83,788056.7809,15072215.56,6458026.934,19864551.87,9041425,174856296.4
2067,31945102.01,795458.7217,15190049.03,6488900.773,20184395.47,9201698.143,175051443.5
2068,32245842.19,802860.6625,15307882.49,6519774.612,20504239.07,9361971.286,175243782.6
2069,32546582.37,810262.6033,15425715.96,6550648.452,20824082.67,9522244.429,175433373.8
2070,32847322.54,817664.5441,15543549.42,6581522.291,21143926.27,9682517.571,175620275.5
2071,33148062.72,825066.4848,15661382.89,6612396.13,21463769.87,9842790.714,175804544.6
2072,33448802.9,832468.4256,15779216.35,6643269.969,21783613.47,10003063.86,175986236.4
2073,33749543.08,839870.3664,15897049.81,6674143.809,22103457.07,10163337,176165404.5
2074,34050283.26,847272.3072,16014883.28,6705017.648,22423300.67,10323610.14,176342101.1
2075,34351023.44,854674.248,16132716.74,6735891.487,22743144.26,10483883.29,176516377.1
2076,34651763.61,862076.1887,16250550.21,6766765.327,23062987.86,10644156.43,176688281.8
2077,34952503.79,869478.1295,16368383.67,6797639.166,23382831.46,10804429.57,176857863.3
2078,35253243.97,876880.0703,16486217.14,6828513.005,23702675.06,10964702.71,177025168.4
2079,35553984.15,884282.0111,16604050.6,6859386.844,24022518.66,11124975.86,177190242.6
2080,35854724.33,891683.9519,16721884.06,6890260.684,24342362.26,11285249,177353130.3
2081,36155464.51,899085.8926,16839717.53,6921134.523,24662205.86,11445522.14,177513874.5
2082,36456204.69,906487.8334,16957550.99,6952008.362,24982049.46,11605795.29,177672517.4
2083,36756944.86,913889.7742,17075384.46,6982882.202,25301893.06,11766068.43,177829099.9
2084,37057685.04,921291.715,17193217.92,7013756.041,25621736.66,11926341.57,177983661.8
2085,37358425.22,928693.6558,17311051.39,7044629.88,25941580.26,12086614.71,178136242
2086,37659165.4,936095.5965,17428884.85,7075503.719,26261423.86,12246887.86,178286878.4
2087,37959905.58,943497.5373,17546718.31,7106377.559,26581267.46,12407161,178435607.9
2088,38260645.76,950899.4781,17664551.78,7137251.398,26901111.06,12567434.14,178582466.5
2089,38561385.94,958301.4189,17782385.24,7168125.237,27220954.65,12727707.29,178727489.2
2090,38862126.11,965703.3597,17900218.71,7198999.077,27540798.25,12887980.43,178870710.3
2091,39162866.29,973105.3004,18018052.17,7229872.916,27860641.85,13048253.57,179012163.1
2092,39463606.47,980507.2412,18135885.64,7260746.755,28180485.45,13208526.71,179151880.1
2093,39764346.65,987909.182,18253719.1,7291620.594,28500329.05,13368799.86,179289893.3
2094,40065086.83,995311.1228,18371552.56,7322494.434,28820172.65,13529073,179426233.4
2095,40365827.01,1002713.064,18489386.03,7353368.273,29140016.25,13689346.14,179560930.8
2096,40666567.19,1010115.004,18607219.49,7384242.112,29459859.85,13849619.29,179694014.9
2097,40967307.36,1017516.945,18725052.96,7415115.952,29779703.45,14009892.43,179825514.6
2098,41268047.54,1024918.886,18842886.42,7445989.791,30099547.05,14170165.57,179955458
2099,41568787.72,1032320.827,18960719.89,7476863.63,30419390.65,14330438.71,180083872.6
2100,41869527.9,1039722.767,19078553.35,7507737.469,30739234.25,14490711.86,180210785.2
2101,42170268.08,1047124.708,19196386.81,7538611.309,31059077.85,14650985,180336221.9
2102,42471008.26,1054526.649,19314220.28,7569485.148,31378921.45,14811258.14,180460208.4
2103,42771748.44,1061928.59,19432053.74,7600358.987,31698765.04,14971531.29,180582769.7
2104,43072488.61,1069330.531,19549887.21,7631232.827,32018608.64,15131804.43,180703930.3
2105,43373228.79,1076732.471,19667720.67,7662106.666,32338452.24,15292077.57,180823713.9
2106,43673968.97,1084134.412,19785554.14,7692980.505,32658295.84,15452350.71,180942144
2107,43974709.15,1091536.353,19903387.6,7723854.344,32978139.44,15612623.86,181059243.3
2108,44275449.33,1098938.294,20021221.06,7754728.184,33297983.04,15772897,181175034.2
2109,44576189.51,1106340.234,20139054.53,7785602.023,33617826.64,15933170.14,181289538.4
2110,44876929.69,1113742.175,20256887.99,7816475.862,33937670.24,16093443.29,181402777.3
2111,45177669.86,1121144.116,20374721.46,7847349.702,34257513.84,16253716.43,181514771.8
2112,45478410.04,1128546.057,20492554.92,7878223.541,34577357.44,16413989.57,181625542.2
2113,45779150.22,1135947.998,20610388.39,7909097.38,34897201.04,16574262.71,181735108.6
2114,46079890.4,1143349.938,20728221.85,7939971.219,35217044.64,16734535.86,181843490.3
2115,46380630.58,1150751.879,20846055.31,7970845.059,35536888.24,16894809,181950706.7
2116,46681370.76,1158153.82,20963888.78,8001718.898,35856731.84,17055082.14,182056776.2
2117,46982110.94,1165555.761,21081722.24,8032592.737,36176575.43,17215355.29,182161717.3
2118,47282851.11,1172957.701,21199555.71,8063466.577,36496419.03,17375628.43,182265547.8
2119,47583591.29,1180359.642,21317389.17,8094340.416,36816262.63,17535901.57,182368285.4
2120,47884331.47,1187761.583,21435222.64,8125214.255,37136106.23,17696174.71,182469947.1
2121,48185071.65,1195163.524,21553056.1,8156088.094,37455949.83,17856447.86,182570549.7
2122,48485811.83,1202565.465,21670889.56,8186961.934,37775793.43,18016721,182670109.8
2123,48786552.01,1209967.405,21788723.03,8217835.773,38095637.03,18176994.14,182768643.5
2124,49087292.19,1217369.346,21906556.49,8248709.612,38415480.63,18337267.29,182866166.5
2125,49388032.36,1224771.287,22024389.96,8279583.452,38735324.23,18497540.43,182962694.3
2126,49688772.54,1232173.228,22142223.42,8310457.291,39055167.83,18657813.57,183058242.1
2127,49989512.72,1239575.168,22260056.89,8341331.13,39375011.43,18818086.71,183152824.7
2128,50290252.9,1246977.109,22377890.35,8372204.969,39694855.03,18978359.86,183246456.7
2129,50590993.08,1254379.05,22495723.81,8403078.809,40014698.63,19138633,183339152.3
2130,50891733.26,1261780.991,22613557.28,8433952.648,40334542.23,19298906.14,183430925.5
2131,51192473.44,1269182.932,22731390.74,8464826.487,40654385.83,19459179.29,183521790
2132,51493213.61,1276584.872,22849224.21,8495700.327,40974229.42,19619452.43,183611759.3
2133,51793953.79,1283986.813,22967057.67,8526574.166,41294073.02,19779725.57,183700846.5
2134,52094693.97,1291388.754,23084891.14,8557448.005,41613916.62,19939998.71,183789064.5
2135,52395434.15,1298790.695,23202724.6,8588321.844,41933760.22,20100271.86,183876425.9
2136,52696174.33,1306192.636,23320558.06,8619195.684,42253603.82,20260545,183962943.3
2137,52996914.51,1313594.576,23438391.53,8650069.523,42573447.42,20420818.14,184048628.7
2138,53297654.69,1320996.517,23556224.99,8680943.362,42893291.02,20581091.29,184133494.1
2139,53598394.86,1328398.458,23674058.46,8711817.202,43213134.62,20741364.43,184217551.3
2140,53899135.04,1335800.399,23791891.92,8742691.041,43532978.22,20901637.57,184300811.6
2141,54199875.22,1343202.339,23909725.39,8773564.88,43852821.82,21061910.71,184383286.5
2142,54500615.4,1350604.28,24027558.85,8804438.719,44172665.42,21222183.86,184464986.8
2143,54801355.58,1358006.221,24145392.31,8835312.559,44492509.02,21382457,184545923.6
2144,55102095.76,1365408.162,24263225.78,8866186.398,44812352.62,21542730.14,184626107.5
2145,55402835.94,1372810.103,24381059.24,8897060.237,45132196.22,21703003.29,184705548.9
2146,55703576.11,1380212.043,24498892.71,8927934.077,45452039.81,21863276.43,184784258.1
2147,56004316.29,1387613.984,24616726.17,8958807.916,45771883.41,22023549.57,184862245.1
2148,56305056.47,1395015.925,24734559.64,8989681.755,46091727.01,22183822.71,184939519.9
2149,56605796.65,1402417.866,24852393.1,9020555.594,46411570.61,22344095.86,185016092.2
2150,56906536.83,1409819.806,24970226.56,9051429.434,46731414.21,22504369,185091971.5
2151,57207277.01,1417221.747,25088060.03,9082303.273,47051257.81,22664642.14,185167167.1
2152,57508017.19,1424623.688,25205893.49,9113177.112,47371101.41,22824915.29,185241688.3
2153,57808757.36,1432025.629,25323726.96,9144050.952,47690945.01,22985188.43,185315544.1
2154,58109497.54,1439427.57,25441560.42,9174924.791,48010788.61,23145461.57,185388743.4
2155,58410237.72,1446829.51,25559393.89,9205798.63,48330632.21,23305734.71,185461294.9
2156,58710977.9,1454231.451,25677227.35,9236672.469,48650475.81,23466007.86,185533207.2
2157,59011718.08,1461633.392,25795060.81,9267546.309,48970319.41,23626281,185604488.6
2158,59312458.26,1469035.333,25912894.28,9298420.148,49290163.01,23786554.14,185675147.4
2159,59613198.44,1476437.273,26030727.74,9329293.987,49610006.61,23946827.29,185745191.8
2160,59913938.61,1483839.214,26148561.21,9360167.827,49929850.2,24107100.43,185814629.7
2161,60214678.79,1491241.155,26266394.67,9391041.666,50249693.8,24267373.57,185883468.9
2162,60515418.97,1498643.096,26384228.14,9421915.505,50569537.4,24427646.71,185951717.3
2163,60816159.15,1506045.037,26502061.6,9452789.344,50889381,24587919.86,186019382.3
2164,61116899.33,1513446.977,26619895.06,9483663.184,51209224.6,24748193,186086471.4
2165,61417639.51,1520848.918,26737728.53,9514537.023,51529068.2,24908466.14,186152992
2166,61718379.69,1528250.859,26855561.99,9545410.862,51848911.8,25068739.29,186218951.1
2167,62019119.86,1535652.8,26973395.46,9576284.702,52168755.4,25229012.43,186284356
2168,62319860.04,1543054.74,27091228.92,9607158.541,52488599,25389285.57,186349213.5
2169,62620600.22,1550456.681,27209062.39,9638032.38,52808442.6,25549558.71,186413530.5
2170,62921340.4,1557858.622,27326895.85,9668906.219,53128286.2,25709831.86,186477313.7
2171,63222080.58,1565260.563,27444729.31,9699780.059,53448129.8,25870105,186540569.8
2172,63522820.76,1572662.504,27562562.78,9730653.898,53767973.4,26030378.14,186603305.3
2173,63823560.94,1580064.444,27680396.24,9761527.737,54087817,26190651.29,186665526.5
2174,64124301.11,1587466.385,27798229.71,9792401.577,54407660.59,26350924.43,186727239.7
2175,64425041.29,1594868.326,27916063.17,9823275.416,54727504.19,26511197.57,186788451.2
2176,64725781.47,1602270.267,28033896.64,9854149.255,55047347.79,26671470.71,186849167
2177,65026521.65,1609672.207,28151730.1,9885023.094,55367191.39,26831743.86,186909393.2
2178,65327261.83,1617074.148,28269563.56,9915896.934,55687034.99,26992017,186969135.6
2179,65628002.01,1624476.089,28387397.03,9946770.773,56006878.59,27152290.14,187028400
2180,65928742.19,1631878.03,28505230.49,9977644.612,56326722.19,27312563.29,187087192.2
2181,66229482.36,1639279.971,28623063.96,10008518.45,56646565.79,27472836.43,187145517.8
2182,66530222.54,1646681.911,28740897.42,10039392.29,56966409.39,27633109.57,187203382.3
2183,66830962.72,1654083.852,28858730.89,10070266.13,57286252.99,27793382.71,187260791.1
2184,67131702.9,1661485.793,28976564.35,10101139.97,57606096.59,27953655.86,187317749.7
2185,67432443.08,1668887.734,29094397.81,10132013.81,57925940.19,28113929,187374263.2
2186,67733183.26,1676289.674,29212231.28,10162887.65,58245783.79,28274202.14,187430337
2187,68033923.44,1683691.615,29330064.74,10193761.49,58565627.39,28434475.29,187485976
2188,68334663.61,1691093.556,29447898.21,10224635.33,58885470.98,28594748.43,187541185.4
2189,68635403.79,1698495.497,29565731.67,10255509.17,59205314.58,28755021.57,187595970.1
2190,68936143.97,1705897.438,29683565.14,10286383.01,59525158.18,28915294.71,187650334.9
2191,69236884.15,1713299.378,29801398.6,10317256.84,59845001.78,29075567.86,187704284.8
2192,69537624.33,1720701.319,29919232.06,10348130.68,60164845.38,29235841,187757824.3
2193,69838364.51,1728103.26,30037065.53,10379004.52,60484688.98,29396114.14,187810958.3
2194,70139104.69,1735505.201,30154898.99,10409878.36,60804532.58,29556387.29,187863691.2
2195,70439844.86,1742907.142,30272732.46,10440752.2,61124376.18,29716660.43,187916027.6
2196,70740585.04,1750309.082,30390565.92,10471626.04,61444219.78,29876933.57,187967972
2197,71041325.22,1757711.023,30508399.39,10502499.88,61764063.38,30037206.71,188019528.7
2198,71342065.4,1765112.964,30626232.85,10533373.72,62083906.98,30197479.86,188070702.1
2199,71642805.58,1772514.905,30744066.31,10564247.56,62403750.58,30357753,188121496.4
2200,71943545.76,1779916.845,30861899.78,10595121.4,62723594.18,30518026.14,188171915.8
2201,72244285.94,1787318.786,30979733.24,10625995.24,63043437.78,30678299.29,188221964.4
2202,72545026.11,1794720.727,31097566.71,10656869.08,63363281.37,30838572.43,188271646.4
2203,72845766.29,1802122.668,31215400.17,10687742.92,63683124.97,30998845.57,188320965.8
2204,73146506.47,1809524.609,31333233.64,10718616.76,64002968.57,31159118.71,188369926.4
2205,73447246.65,1816926.549,31451067.1,10749490.59,64322812.17,31319391.86,188418532.3
2206,73747986.83,1824328.49,31568900.56,10780364.43,64642655.77,31479665,188466787.2
2207,74048727.01,1831730.431,31686734.03,10811238.27,64962499.37,31639938.14,188514694.9
2208,74349467.19,1839132.372,31804567.49,10842112.11,65282342.97,31800211.29,188562259.2
2209,74650207.36,1846534.312,31922400.96,10872985.95,65602186.57,31960484.43,188609483.7
2210,74950947.54,1853936.253,32040234.42,10903859.79,65922030.17,32120757.57,188656372.1
2211,75251687.72,1861338.194,32158067.89,10934733.63,66241873.77,32281030.71,188702927.9
2212,75552427.9,1868740.135,32275901.35,10965607.47,66561717.37,32441303.86,188749154.8
2213,75853168.08,1876142.076,32393734.81,10996481.31,66881560.97,32601577,188795056
2214,76153908.26,1883544.016,32511568.28,11027355.15,67201404.57,32761850.14,188840635.2
2215,76454648.44,1890945.957,32629401.74,11058228.99,67521248.17,32922123.29,188885895.5
2216,76755388.61,1898347.898,32747235.21,11089102.83,67841091.76,33082396.43,188930840.5
2217,77056128.79,1905749.839,32865068.67,11119976.67,68160935.36,33242669.57,188975473.4
2218,77356868.97,1913151.779,32982902.14,11150850.51,68480778.96,33402942.71,189019797.3
2219,77657609.15,1920553.72,33100735.6,11181724.34,68800622.56,33563215.86,189063815.6
2220,77958349.33,1927955.661,33218569.06,11212598.18,69120466.16,33723489,189107531.3
2221,78259089.51,1935357.602,33336402.53,11243472.02,69440309.76,33883762.14,189150947.6
2222,78559829.69,1942759.543,33454235.99,11274345.86,69760153.36,34044035.29,189194067.5
2223,78860569.86,1950161.483,33572069.46,11305219.7,70079996.96,34204308.43,189236894.1
2224,79161310.04,1957563.424,33689902.92,11336093.54,70399840.56,34364581.57,189279430.3
2225,79462050.22,1964965.365,33807736.39,11366967.38,70719684.16,34524854.71,189321679.1
2226,79762790.4,1972367.306,33925569.85,11397841.22,71039527.76,34685127.86,189363643.4
2227,80063530.58,1979769.246,34043403.31,11428715.06,71359371.36,34845401,189405326.1
2228,80364270.76,1987171.187,34161236.78,11459588.9,71679214.96,35005674.14,189446729.9
2229,80665010.94,1994573.128,34279070.24,11490462.74,71999058.56,35165947.29,189487857.7
2230,80965751.11,2001975.069,34396903.71,11521336.58,72318902.15,35326220.43,189528712.2
2231,81266491.29,2009377.01,34514737.17,11552210.42,72638745.75,35486493.57,189569296.1
2232,81567231.47,2016778.95,34632570.64,11583084.26,72958589.35,35646766.71,189609612.2
2233,81867971.65,2024180.891,34750404.1,11613958.09,73278432.95,35807039.86,189649663
2234,82168711.83,2031582.832,34868237.56,11644831.93,73598276.55,35967313,189689451.1
2235,82469452.01,2038984.773,34986071.03,11675705.77,73918120.15,36127586.14,189728979.2
2236,82770192.19,2046386.713,35103904.49,11706579.61,74237963.75,36287859.29,189768249.8
2237,83070932.36,2053788.654,35221737.96,11737453.45,74557807.35,36448132.43,189807265.4
2238,83371672.54,2061190.595,35339571.42,11768327.29,74877650.95,36608405.57,189846028.4
2239,83672412.72,2068592.536,35457404.89,11799201.13,75197494.55,36768678.71,189884541.3
2240,83973152.9,2075994.477,35575238.35,11830074.97,75517338.15,36928951.86,189922806.6
2241,84273893.08,2083396.417,35693071.81,11860948.81,75837181.75,37089225,189960826.6
2242,84574633.26,2090798.358,35810905.28,11891822.65,76157025.35,37249498.14,189998603.6
2243,84875373.44,2098200.299,35928738.74,11922696.49,76476868.95,37409771.29,190036140
2244,85176113.61,2105602.24,36046572.21,11953570.33,76796712.54,37570044.43,190073438
2245,85476853.79,2113004.18,36164405.67,11984444.17,77116556.14,37730317.57,190110500
2246,85777593.97,2120406.121,36282239.14,12015318.01,77436399.74,37890590.71,190147328.2
2247,86078334.15,2127808.062,36400072.6,12046191.84,77756243.34,38050863.86,190183924.7
2248,86379074.33,2135210.003,36517906.06,12077065.68,78076086.94,38211137,190220291.7
